annId,animeType,animeJPName,songType,songArtist,songName,animeVintage,annSongId,anilistId,audio,HQ,MQ,songLength
9179,OVA,.hack//G.U. Returner,Ending 1,ALI PROJECT,GOD DIVA,Winter 2007,9409,2928,pikt5d.mp3,,b98fyu.webm,126.576
6248,TV,.hack//Roots,Opening 1,FictionJunction YUUKA,Silly-Go-Round,Spring 2006,7572,873,affmb6.mp3,94v1nn.webm,q5wjnf.webm,89.013
6248,TV,.hack//Roots,Ending 1,ALI PROJECT,Boukoku Kakusei Catharsis,Spring 2006,7573,873,hz67li.mp3,h4wdfo.webm,carh4m.webm,89.088
605,TV,.hack//Sign,Ending 1,See-Saw,Yasashii Yoake,Spring 2002,1722,48,hy6npj.mp3,,rgfgad.webm,88.536
605,TV,.hack//Sign,Opening 1,See-Saw,Obsession,Spring 2002,1721,48,o8o21v.mp3,,nc38ej.webm,93.048
1963,TV,.hack//Tasogare no Udewa Densetsu,Opening 1,ROUND TABLE featuring Nino,NEW WORLD,Winter 2003,4399,298,uozgos.mp3,c7r46i.webm,lwg9i8.webm,88.608
25783,TV,"""Oshi no Ko""",Opening 1,YOASOBI,Idol,Spring 2023,39865,150672,02ex66.mp3,2zfjcg.webm,,90.02
25783,TV,"""Oshi no Ko""",Ending 1,Ziyoou-vachi,Mephisto,Spring 2023,39866,150672,q29h3u.mp3,owunu2.webm,,117.528
28810,TV,"""Oshi no Ko""",Opening 1,GEMN,Fatal,Summer 2024,43188,166531,lomjmw.mp3,38kogs.webm,,87.677
28810,TV,"""Oshi no Ko""",Ending 1,Hitsujibungaku,Burning,Summer 2024,43291,166531,vbczu9.mp3,ipy1d4.webm,,103.957
917,TV,∀ Gundam,Opening 1,Hideki Saijo,Turn A Turn,Spring 1999,2510,95,aqf4n8.mp3,p8mxyo.webm,,79.8
23492,TV,100-man no Inochi no Ue ni Ore wa Tatteiru,Ending 1,Liyuu,Carpe Diem,Fall 2020,30714,116242,1o1zh9.mp3,b0ma24.webm,,88.464
23492,TV,100-man no Inochi no Ue ni Ore wa Tatteiru,Opening 2,Kanako Takatsuki & Ai Furihata,Dear My MAJIHA Sisters,Fall 2020,31852,116242,p3900a.mp3,f3j84i.webm,,87.819
23492,TV,100-man no Inochi no Ue ni Ore wa Tatteiru,Opening 1,Kanako Takatsuki,Anti world,Fall 2020,30224,116242,wfcak5.mp3,tnd9ve.webm,,88.632
23853,TV,100-man no Inochi no Ue ni Ore wa Tatteiru,Ending 1,Kanako Takatsuki,Subversive,Summer 2021,34301,127366,4nh3c4.mp3,9j3ct7.webm,,87.864
23853,TV,100-man no Inochi no Ue ni Ore wa Tatteiru,Ending 2,Kanako Takatsuki,Anti world,Summer 2021,34968,127366,n3irzr.mp3,i43r0w.webm,,88.464
23853,TV,100-man no Inochi no Ue ni Ore wa Tatteiru,Opening 1,Kaede Higuchi,Baddest,Summer 2021,34300,127366,bgs33q.mp3,vc3f6c.webm,,87.048
10935,TV,11eyes,Ending 1,Asriel,Sequentia,Fall 2009,10382,6682,chycwx.mp3,eebxvn.webm,nzm7vz.webm,86.28
10935,TV,11eyes,Opening 1,Ayane,Arrival of Tears,Fall 2009,10381,6682,cn69f1.mp3,t5tlxs.webm,,87.672
11226,OVA,11eyes,Ending 1,Asriel,Sequentia,Spring 2010,10617,7739,chycwx.mp3,eebxvn.webm,nzm7vz.webm,86.35
11226,OVA,11eyes,Opening 1,Ayane,Arrival of Tears,Spring 2010,10616,7739,wlwzb6.mp3,t5tlxs.webm,,86.88
16113,OVA,12-sai.,Ending 1,Utata Neko Kageki-dan,Koi no 12-sai,Spring 2014,14292,,dcrqov.mp3,my7eis.webm,,100.44
18702,TV,12-sai.: Chicchana Mune no Tokimeki,Ending 1,Machico,Yuuki no Tsubasa,Fall 2016,16223,21839,4y866c.mp3,1lt3e6.webm,,89.304
18702,TV,12-sai.: Chicchana Mune no Tokimeki,Opening 1,AOP,"Ano ne, Kimi dake ni",Fall 2016,16222,21839,0lh6dy.mp3,ozmt9x.webm,,89.016
18049,TV,12-sai.: Chicchana Mune no Tokimeki,Opening 1,Rie Murakawa,Sweet Sensation,Spring 2016,15774,21609,stvet2.mp3,65s44l.webm,,89.04
18049,TV,12-sai.: Chicchana Mune no Tokimeki,Ending 1,AOP,Cotona MODE,Spring 2016,15775,21609,c48s0j.mp3,haj4vl.webm,,88.764
26787,TV,16bit Sensation: Another Layer,Ending 1,Aoi Koga,Link ~past and future~,Fall 2023,41208,159559,hqe2v5.mp3,3z9w1d.webm,,89.256
26787,TV,16bit Sensation: Another Layer,Opening 1,Shoko Nakagawa,65535,Fall 2023,40792,159559,8u40t1.mp3,kixwaf.webm,,87.912
19410,TV,18if,Ending 11,TeddyLoid,Salvation,Summer 2017,18394,98512,76bryf.mp3,6wr80q.webm,,94.981
19410,TV,18if,Ending 7,Inori Minase,too late,Summer 2017,16622,98512,zk0kqo.mp3,axza4q.webm,,100.336
19410,TV,18if,Ending 2,TeddyLoid feat. AiNA THE END (BiSH),Break The Doors,Summer 2017,16617,98512,ldknog.mp3,byzjg1.webm,,89.854
19410,TV,18if,Opening 1,TeddyLoid feat. Yoshikazu Mera,Red Doors,Summer 2017,16615,98512,du46aj.mp3,teqdfc.webm,,89.976
23487,TV,2.43: Seiin Koukou Danshi Volley-bu,Opening 1,yama,Mahi,Winter 2021,31614,113231,e2kgt9.mp3,24bjow.webm,,89.28
23487,TV,2.43: Seiin Koukou Danshi Volley-bu,Ending 1,Soushi Sakiyama,Undulation,Winter 2021,32143,113231,yr0215.mp3,jvm91x.webm,,89.328
26712,TV,2.5-jigen no Ririsa,Opening 2,Soraru,Tsugihagi no Tsubasa,Summer 2024,43866,158559,jkowdd.mp3,9n7bjv.webm,,89.975
26712,TV,2.5-jigen no Ririsa,Ending 1,Kaori Maeda・Akari Kitou,Watch Me,Summer 2024,43108,158559,ahxmcb.mp3,dubb6i.webm,,87.719
26712,TV,2.5-jigen no Ririsa,Opening 1,Meychan,Shutter Chance,Summer 2024,43107,158559,vjt0wa.mp3,ejjarg.webm,,87.385
26712,TV,2.5-jigen no Ririsa,Ending 2,Kaori Maeda・Akari Kitou・Sayumi Suzushiro・Sayumi Watabe,Release Sigh,Summer 2024,43867,158559,0bz6lb.mp3,k1fxg2.webm,,89.475
22353,TV,22/7,Ending 1,22/7,Sora no Emerald,Winter 2020,27549,99807,fof6r6.mp3,1lx500.webm,byyr57.webm,88.344
22353,TV,22/7,Ending 2,Nagomi Saijou,One of them,Winter 2020,27887,99807,29jscx.mp3,jgiszs.webm,zq8q3g.webm,86.496
22353,TV,22/7,Opening 1,22/7,Muzui,Winter 2020,27548,99807,skoxpu.mp3,quo6eu.webm,tg1d3u.webm,90.96
